Species	WP010_2A	WP011_3A	WP018_1B	WP020_3B	WP021_4B	WP022_5B	WP023_6B	WP024_7B	WP025_8B	WP016_8A	WP019_2B	WP009_1A	WP012_4A	WP013_5A	WP014_6A	WP015_7A	WP017_9A	Kingdom	Phylum	Class	Order	Family	Genus	Species	Total abundance	Guild	Guild category
Microbotryomycetes_sp	90.0	22.0	58.0	23.0	7.0	130.0	71.0	3457.0	17.0	29.0	25.0	1.0	82.0	0.0	0.0	6.0	3.0	Fungi	Basidiomycota	Microbotryomycetes	Microbotryomycetes_ord_Incertae_sedis	Microbotryomycetes_fam_Incertae_sedis	Microbotryomycetes_gen_Incertae_sedis	Microbotryomycetes_sp	4021.0	NA	ENA
GS18_sp	32.0	0.0	12.0	32.0	11.0	0.0	35.0	0.0	73.0	0.0	16.0	0.0	169.0	0.0	0.0	34.0	25.0	Fungi	Olpidiomycota	GS18	GS18_ord_Incertae_sedis	GS18_fam_Incertae_sedis	GS18_gen_Incertae_sedis	GS18_sp	439.0	NA	ENA
Drechslerella_sp	9.0	138.0	10.0	7.0	222.0	30.0	69.0	5.0	2.0	2.0	86.0	4.0	29.0	9.0	0.0	8.0	16.0	Fungi	Ascomycota	Orbiliomycetes	Orbiliales	Orbiliaceae	Drechslerella	Drechslerella_sp	646.0	Nematophagous	Nop
Cutaneotrichosporon_moniliiforme	4.0	15.0	240.0	28.0	2.0	4.0	2.0	1.0	6.0	3.0	159.0	7.0	3.0	0.0	0.0	0.0	1.0	Fungi	Basidiomycota	Tremellomycetes	Trichosporonales	Trichosporonaceae	Cutaneotrichosporon	Cutaneotrichosporon_moniliiforme	475.0	Animal Pathogen	Nop
Cenococcum_sp	0.0	606.0	30.0	3.0	1.0	60.0	1.0	0.0	2.0	5.0	1.0	0.0	56.0	0.0	38.0	0.0	2.0	Fungi	Ascomycota	Dothideomycetes	Mytilinidales	Gloniaceae	Cenococcum	Cenococcum_sp	805.0	Ectomycorrhizal	Myc
Keithomyces_carneus	17.0	55.0	812.0	39.0	3.0	106.0	5.0	5.0	46.0	36.0	26.0	11.0	173.0	0.0	4.0	0.0	12.0	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	Keithomyces	Keithomyces_carneus	1350.0	NA	ENA
Elaphomyces_sp	0.0	5.0	0.0	0.0	0.0	0.0	4.0	0.0	2.0	0.0	227.0	1009.0	55.0	2.0	1.0	12.0	21.0	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Elaphomycetaceae	Elaphomyces	Elaphomyces_sp	1338.0	Ectomycorrhizal	Myc
Teratosphaeria_sp	59.0	0.0	4.0	2.0	0.0	52.0	0.0	0.0	0.0	45.0	7.0	3.0	2.0	8.0	106.0	17.0	181.0	Fungi	Ascomycota	Dothideomycetes	Mycosphaerellales	Teratosphaeriaceae	Teratosphaeria	Teratosphaeria_sp	486.0	NA	ENA
Tuber_rufum	0.0	0.0	557.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.0	0.0	0.0	0.0	0.0	0.0	0.0	Fungi	Ascomycota	Pezizomycetes	Pezizales	Tuberaceae	Tuber	Tuber_rufum	580.0	NA	ENA
Mycena_citrinomarginata	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1393.0	0.0	0.0	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Mycenaceae	Mycena	Mycena_citrinomarginata	1393.0	Leaf Saprotroph, Plant Pathogen, Undefined Saprotroph, Wood Saprotroph	Pat
Endophoma_elongata	7.0	3.0	248.0	96.0	41.0	10.0	51.0	20.0	3.0	20.0	41.0	9.0	0.0	0.0	0.0	4.0	9.0	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Endophoma	Endophoma_elongata	562.0	NA	ENA
Hypocreales_sp	10.0	49.0	7.0	160.0	57.0	31.0	37.0	7.0	103.0	39.0	57.0	5.0	465.0	1.0	7.0	6.0	45.0	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreales_fam_Incertae_sedis	Hypocreales_gen_Incertae_sedis	Hypocreales_sp	1086.0	NA	ENA
Leucosporidium_sp	25.0	61.0	7.0	16.0	6.0	89.0	136.0	105.0	191.0	9.0	1.0	3.0	11.0	0.0	4.0	0.0	28.0	Fungi	Basidiomycota	Microbotryomycetes	Leucosporidiales	Leucosporidiaceae	Leucosporidium	Leucosporidium_sp	692.0	Soil Saprotroph, Undefined Saprotroph	Sap
Mortierella_rishikesha	118.0	0.0	97.0	232.0	0.0	593.0	7.0	2.0	22.0	9.0	11.0	4.0	1.0	0.0	8.0	0.0	14.0	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella_rishikesha	1118.0	Endophyte, Litter Saprotroph, Soil Saprotroph, Undefined Saprotroph	Sap
Galerina_sp	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	873.0	0.0	0.0	0.0	0.0	0.0	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Strophariaceae	Galerina	Galerina_sp	873.0	Bryophyte Parasite, Leaf Saprotroph, Soil Saprotroph, Undefined Saprotroph, Wood Saprotroph	Sap
Chionosphaeraceae_sp	0.0	234.0	79.0	16.0	0.0	0.0	0.0	0.0	0.0	18.0	1.0	64.0	0.0	0.0	0.0	0.0	0.0	Fungi	Basidiomycota	Agaricostilbomycetes	Agaricostilbales	Chionosphaeraceae	Chionosphaeraceae_gen_Incertae_sedis	Chionosphaeraceae_sp	412.0	NA	ENA
Cladosporium_basi-inflatum	36.0	18.0	51.0	39.0	28.0	10.0	46.0	11.0	96.0	34.0	34.0	26.0	20.0	8.0	11.0	7.0	136.0	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	Cladosporium_basi-inflatum	639.0	NA	ENA
Inocybe_asterospora	34.0	0.0	0.0	0.0	0.0	39.0	0.0	9.0	989.0	14.0	0.0	0.0	982.0	2.0	32.0	0.0	1.0	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Inocybaceae	Inocybe	Inocybe_asterospora	2102.0	Ectomycorrhizal	Myc
Sebacina_sp	0.0	0.0	4.0	300.0	0.0	9.0	0.0	0.0	9.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	Fungi	Basidiomycota	Agaricomycetes	Sebacinales	Sebacinaceae	Sebacina	Sebacina_sp	324.0	Ectomycorrhizal, Orchid Mycorrhizal, Root Associated Biotroph	Myc
Fungi_sp	374.0	603.0	202.0	961.0	95.0	505.0	250.0	108.0	352.0	263.0	657.0	230.0	275.0	55.0	50.0	212.0	452.0	Fungi	Fungi_phy_Incertae_sedis	Fungi_cls_Incertae_sedis	Fungi_ord_Incertae_sedis	Fungi_fam_Incertae_sedis	Fungi_gen_Incertae_sedis	Fungi_sp	5645.0	NA	ENA
Pseudogymnoascus_roseus	33.0	22.0	32.0	60.0	5.0	378.0	24.0	17.0	55.0	58.0	9.0	3.0	134.0	6.0	49.0	3.0	49.0	Fungi	Ascomycota	Leotiomycetes	Thelebolales	Pseudeurotiaceae	Pseudogymnoascus	Pseudogymnoascus_roseus	937.0	Animal Pathogen, Soil Saprotroph	Sap
Metapochonia_bulbillosa	5.0	107.0	6.0	16.0	90.0	17.0	115.0	38.0	61.0	38.0	983.0	11.0	39.0	15.0	2.0	14.0	49.0	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	Metapochonia	Metapochonia_bulbillosa	1606.0	NA	ENA
Trichoderma_paucisporum	5.0	45.0	11.0	24.0	31.0	81.0	18.0	16.0	63.0	19.0	54.0	2.0	262.0	0.0	6.0	4.0	15.0	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Trichoderma	Trichoderma_paucisporum	656.0	Animal Pathogen, Endophyte, Epiphyte, Fungal Parasite, Plant Pathogen, Wood Saprotroph	Pat
Olpidium_sp	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	440.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Fungi	Olpidiomycota	Olpidiomycetes	Olpidiales	Olpidiaceae	Olpidium	Olpidium_sp	441.0	Plant Pathogen	Pat
Trichoderma_amazonicum	27.0	36.0	38.0	13.0	2.0	469.0	2.0	4.0	22.0	225.0	27.0	1.0	990.0	1.0	5.0	2.0	21.0	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Trichoderma	Trichoderma_amazonicum	1885.0	Animal Pathogen, Endophyte, Epiphyte, Fungal Parasite, Plant Pathogen, Wood Saprotroph	Pat
Trichoderma_spirale	2.0	23.0	6.0	28.0	3.0	277.0	4.0	1.0	6.0	16.0	44.0	4.0	52.0	8.0	0.0	0.0	19.0	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Trichoderma	Trichoderma_spirale	493.0	Animal Pathogen, Endophyte, Epiphyte, Fungal Parasite, Plant Pathogen, Wood Saprotroph	Pat
Cordana_pauciseptata	12.0	163.0	3.0	11.0	0.0	11.0	91.0	0.0	0.0	2.0	0.0	1.0	23.0	0.0	1.0	0.0	20.0	Fungi	Ascomycota	Sordariomycetes	Sordariales	Sordariales_fam_Incertae_sedis	Cordana	Cordana_pauciseptata	338.0	NULL	ENA
Clavulinopsis_sp	2.0	0.0	0.0	0.0	5.0	185.0	1.0	25.0	3.0	1.0	664.0	129.0	133.0	0.0	0.0	1.0	76.0	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Clavariaceae	Clavulinopsis	Clavulinopsis_sp	1225.0	Undefined Saprotroph	Sap
Leucosporidiales_sp	4.0	1.0	1.0	2.0	2.0	0.0	32.0	12.0	30.0	0.0	415.0	0.0	69.0	5.0	0.0	0.0	33.0	Fungi	Basidiomycota	Microbotryomycetes	Leucosporidiales	Leucosporidiales_fam_Incertae_sedis	Leucosporidiales_gen_Incertae_sedis	Leucosporidiales_sp	606.0	NA	ENA
Piloderma_sp	0.0	284.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.0	0.0	0.0	0.0	0.0	791.0	0.0	0.0	Fungi	Basidiomycota	Agaricomycetes	Atheliales	Pilodermataceae	Piloderma	Piloderma_sp	1101.0	Ectomycorrhizal	Myc
Leotiomycetes_sp	8.0	276.0	10.0	16.0	188.0	45.0	34.0	8.0	13.0	15.0	222.0	11.0	46.0	6.0	2.0	82.0	52.0	Fungi	Ascomycota	Leotiomycetes	Leotiomycetes_ord_Incertae_sedis	Leotiomycetes_fam_Incertae_sedis	Leotiomycetes_gen_Incertae_sedis	Leotiomycetes_sp	1034.0	NA	ENA
Oidiodendron_majus	0.0	152.0	0.0	14.0	3.0	0.0	31.0	100.0	0.0	29.0	2.0	0.0	23.0	0.0	33.0	1.0	0.0	Fungi	Ascomycota	Leotiomycetes	Helotiales	Myxotrichaceae	Oidiodendron	Oidiodendron_majus	388.0	Ericoid Mycorrhizal	Myc
Lasionectriopsis_spinosa	59.0	62.0	36.0	48.0	23.0	96.0	17.0	8.0	30.0	47.0	106.0	6.0	64.0	3.0	1.0	24.0	39.0	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Bionectriaceae	Lasionectriopsis	Lasionectriopsis_spinosa	669.0	NA	ENA
Metarhizium_baoshanense	861.0	12.0	0.0	4.0	0.0	3.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	9.0	0.0	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	Metarhizium	Metarhizium_baoshanense	892.0	Animal Pathogen	Nop
Sepedonium_sp	0.0	10.0	22.0	1.0	3.0	8.0	5.0	7.0	5.0	452.0	3.0	0.0	1.0	2.0	1.0	0.0	10.0	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Sepedonium	Sepedonium_sp	530.0	Fungal Parasite, Wood Saprotroph	Sap
Russula_cyanoxantha	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	1390.0	3.0	0.0	0.0	0.0	0.0	5.0	0.0	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Russula	Russula_cyanoxantha	1400.0	Ectomycorrhizal	Myc
Chalara_sp	47.0	10.0	107.0	77.0	73.0	1.0	5.0	1.0	0.0	153.0	12.0	18.0	11.0	0.0	0.0	24.0	468.0	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiales_fam_Incertae_sedis	Chalara	Chalara_sp	1007.0	Endophyte, Plant Pathogen, Wood Saprotroph	Pat
Didymella_arachidicola	0.0	2.0	1.0	44.0	1.0	2.0	0.0	0.0	3.0	0.0	15.0	0.0	13.0	1.0	2.0	0.0	128.0	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Didymella	Didymella_arachidicola	212.0	Animal Pathogen, Plant Pathogen, Undefined Saprotroph	Pat
Sclerotiniaceae_sp	7.0	48.0	30.0	7.0	140.0	48.0	32.0	1.0	36.0	15.0	20.0	2.0	4.0	0.0	21.0	10.0	295.0	Fungi	Ascomycota	Leotiomycetes	Helotiales	Sclerotiniaceae	Sclerotiniaceae_gen_Incertae_sedis	Sclerotiniaceae_sp	716.0	NA	ENA
Hyaloscypha_sp	0.0	0.0	0.0	431.0	0.0	0.0	0.0	0.0	0.0	0.0	64.0	21.0	7.0	2.0	0.0	0.0	0.0	Fungi	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Hyaloscypha	Hyaloscypha_sp	525.0	Undefined Saprotroph	Sap
Mortierella_macrocystis	218.0	144.0	61.0	28.0	42.0	50.0	57.0	38.0	296.0	76.0	72.0	10.0	44.0	26.0	38.0	233.0	146.0	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella_macrocystis	1579.0	Endophyte, Litter Saprotroph, Soil Saprotroph, Undefined Saprotroph	Sap
Mastigobasidium_sp	8.0	9.0	10.0	60.0	4.0	12.0	28.0	12.0	12.0	16.0	39.0	1.0	4.0	8.0	0.0	0.0	0.0	Fungi	Basidiomycota	Microbotryomycetes	Leucosporidiales	Leucosporidiaceae	Mastigobasidium	Mastigobasidium_sp	223.0	Litter Saprotroph	Sap
Cephalotheca_sp	13.0	18.0	4.0	1.0	200.0	0.0	60.0	1.0	3.0	15.0	11.0	0.0	11.0	0.0	0.0	8.0	0.0	Fungi	Ascomycota	Sordariomycetes	Sordariales	Cephalothecaceae	Cephalotheca	Cephalotheca_sp	345.0	Undefined Saprotroph	Sap
Trichoderma_stellatum	3.0	101.0	5.0	13.0	13.0	31.0	81.0	1.0	14.0	148.0	66.0	6.0	13.0	6.0	1.0	21.0	18.0	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Trichoderma	Trichoderma_stellatum	541.0	Animal Pathogen, Endophyte, Epiphyte, Fungal Parasite, Plant Pathogen, Wood Saprotroph	Pat
Aureobasidium_pullulans	5.0	0.0	1.0	3.0	0.0	1.0	1.0	0.0	146.0	34.0	0.0	1.0	4.0	1.0	0.0	6.0	8.0	Fungi	Ascomycota	Dothideomycetes	Dothideales	Saccotheciaceae	Aureobasidium	Aureobasidium_pullulans	221.0	Animal Pathogen, Endophyte, Epiphyte, Plant Pathogen, Undefined Saprotroph	Pat
Clonostachys_divergens	31.0	0.0	9.0	25.0	0.0	43.0	9.0	1.0	1.0	11.0	0.0	12.0	0.0	0.0	1.0	0.0	7.0	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Bionectriaceae	Clonostachys	Clonostachys_divergens	150.0	Plant Pathogen	Pat
Tetracladium_sp	6.0	65.0	1.0	3.0	2.0	19.0	183.0	12.0	52.0	6.0	10.0	4.0	7.0	0.0	1.0	0.0	16.0	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium	Tetracladium_sp	387.0	Undefined Saprotroph	Sap
Chalara_angustata	64.0	0.0	7.0	2.0	8.0	11.0	54.0	14.0	2.0	17.0	247.0	158.0	26.0	1.0	0.0	274.0	159.0	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiales_fam_Incertae_sedis	Chalara	Chalara_angustata	1044.0	Endophyte, Plant Pathogen, Wood Saprotroph	Pat
Russula_odorata	21.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	266.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Russula	Russula_odorata	294.0	Ectomycorrhizal	Myc
Capnodiales_sp	17.0	117.0	82.0	58.0	94.0	27.0	34.0	23.0	6.0	6.0	69.0	18.0	46.0	6.0	85.0	57.0	64.0	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Capnodiales_fam_Incertae_sedis	Capnodiales_gen_Incertae_sedis	Capnodiales_sp	809.0	NA	ENA
Mortierella_gemmifera	0.0	1.0	0.0	0.0	3.0	3.0	500.0	25.0	51.0	6.0	71.0	0.0	24.0	21.0	0.0	0.0	27.0	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella_gemmifera	732.0	Endophyte, Litter Saprotroph, Soil Saprotroph, Undefined Saprotroph	Sap
Dissophora_globulifera	20.0	46.0	11.0	17.0	21.0	38.0	49.0	4.0	15.0	86.0	237.0	13.0	8.0	8.0	3.0	0.0	39.0	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Dissophora	Dissophora_globulifera	615.0	Undefined Saprotroph	Sap
Russula_risigallina	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	349.0	0.0	0.0	0.0	0.0	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Russula	Russula_risigallina	349.0	Ectomycorrhizal	Myc
Penicillium_antarcticum	0.0	221.0	10.0	10.0	6.0	11.0	4.0	20.0	11.0	23.0	17.0	0.0	152.0	0.0	2.0	10.0	4.0	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium_antarcticum	501.0	Dung Saprotroph, Undefined Saprotroph, Wood Saprotroph	Sap
Coniella_quercicola	3.0	23.0	0.0	0.0	0.0	0.0	0.0	0.0	132.0	7.0	3.0	0.0	0.0	0.0	2.0	770.0	2.0	Fungi	Ascomycota	Sordariomycetes	Diaporthales	Schizoparmaceae	Coniella	Coniella_quercicola	942.0	Plant Pathogen	Pat
Penicillium_sp	34.0	162.0	107.0	51.0	217.0	191.0	82.0	44.0	1169.0	39.0	124.0	28.0	140.0	17.0	132.0	531.0	174.0	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium_sp	3242.0	Dung Saprotroph, Undefined Saprotroph, Wood Saprotroph	Sap
Rhizophydiales_sp	114.0	104.0	57.0	52.0	50.0	116.0	27.0	14.0	91.0	48.0	95.0	39.0	154.0	4.0	3.0	29.0	106.0	Fungi	Chytridiomycota	Rhizophydiomycetes	Rhizophydiales	Rhizophydiales_fam_Incertae_sedis	Rhizophydiales_gen_Incertae_sedis	Rhizophydiales_sp	1103.0	NA	ENA
Lachnum_virgineum	0.0	0.0	0.0	91.0	0.0	0.0	1.0	62.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	3.0	Fungi	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Lachnum	Lachnum_virgineum	159.0	Undefined Saprotroph	Sap
Coronophorales_sp	2.0	16.0	0.0	2.0	0.0	34.0	24.0	10.0	2.0	96.0	13.0	0.0	2.0	0.0	9.0	0.0	2.0	Fungi	Ascomycota	Sordariomycetes	Coronophorales	Coronophorales_fam_Incertae_sedis	Coronophorales_gen_Incertae_sedis	Coronophorales_sp	212.0	NA	ENA
Hymenochaetales_sp	1.0	21.0	5.0	4.0	1.0	3.0	0.0	3.0	2.0	3.0	1.0	8.0	4.0	0.0	0.0	6.0	206.0	Fungi	Basidiomycota	Agaricomycetes	Hymenochaetales	Hymenochaetales_fam_Incertae_sedis	Hymenochaetales_gen_Incertae_sedis	Hymenochaetales_sp	268.0	NA	ENA
Pochonia_cordycepisociata	3.0	3.0	2.0	1.0	1.0	12.0	38.0	18.0	32.0	47.0	3.0	2.0	18.0	3.0	0.0	3.0	279.0	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	Pochonia	Pochonia_cordycepisociata	465.0	Animal Pathogen	Nop
Russula_carminipes	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	572.0	0.0	0.0	0.0	0.0	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Russula	Russula_carminipes	576.0	Ectomycorrhizal	Myc
Humicola_nigrescens	0.0	75.0	21.0	0.0	0.0	19.0	3.0	2.0	0.0	6.0	163.0	0.0	3.0	0.0	0.0	0.0	17.0	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Humicola	Humicola_nigrescens	309.0	NA	ENA
Preussia_sp	25.0	83.0	21.0	2.0	11.0	4.0	2.0	9.0	0.0	1.0	74.0	21.0	115.0	0.0	0.0	17.0	27.0	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Preussia	Preussia_sp	412.0	Undefined Saprotroph	Sap
Entoloma_sp	62.0	98.0	51.0	13.0	71.0	79.0	9.0	30.0	96.0	104.0	82.0	58.0	49.0	5.0	2.0	19.0	215.0	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Entolomataceae	Entoloma	Entoloma_sp	1043.0	Ectomycorrhizal, Fungal Parasite, Soil Saprotroph, Undefined Saprotroph	Myc
Discosia_fici	1.0	5.0	0.0	0.0	0.0	0.0	1.0	4.0	211.0	0.0	2.0	0.0	1.0	0.0	0.0	3.0	0.0	Fungi	Ascomycota	Sordariomycetes	Amphisphaeriales	Discosiaceae	Discosia	Discosia_fici	228.0	NA	ENA
Dothideomycetes_sp	14.0	19.0	5.0	6.0	5.0	1.0	2.0	0.0	65.0	0.0	1.0	0.0	10.0	1.0	22.0	10.0	141.0	Fungi	Ascomycota	Dothideomycetes	Dothideomycetes_ord_Incertae_sedis	Dothideomycetes_fam_Incertae_sedis	Dothideomycetes_gen_Incertae_sedis	Dothideomycetes_sp	302.0	NA	ENA
Beauveria_australis	351.0	52.0	3.0	17.0	27.0	42.0	16.0	8.0	4.0	42.0	46.0	3.0	291.0	10.0	13.0	1.0	6.0	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Cordycipitaceae	Beauveria	Beauveria_australis	932.0	Animal Pathogen	Nop
Cylindrium_sp	1.0	16.0	5.0	5.0	47.0	2.0	11.0	1.0	128.0	12.0	2.0	0.0	17.0	0.0	0.0	9.0	26.0	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Cylindriaceae	Cylindrium	Cylindrium_sp	282.0	NA	ENA
Chaetosphaeria_vermicularioides	6.0	5.0	17.0	14.0	2.0	22.0	13.0	7.0	21.0	5.0	11.0	0.0	17.0	2.0	0.0	5.0	3.0	Fungi	Ascomycota	Sordariomycetes	Chaetosphaeriales	Chaetosphaeriaceae	Chaetosphaeria	Chaetosphaeria_vermicularioides	150.0	Endophyte, Litter Saprotroph, Wood Saprotroph	Sap
Neocucurbitaria_quercina	4.0	5.0	0.0	19.0	28.0	38.0	24.0	0.0	3.0	2.0	25.0	14.0	14.0	0.0	1.0	13.0	40.0	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Cucurbitariaceae	Neocucurbitaria	Neocucurbitaria_quercina	230.0	NA	ENA
Apodus_deciduus	0.0	19.0	89.0	6.0	0.0	4.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Apodus	Apodus_deciduus	121.0	Undefined Saprotroph	Sap
Tomentella_sp	59.0	151.0	1.0	193.0	1.0	26.0	7.0	49.0	90.0	6.0	0.0	1.0	0.0	0.0	3.0	0.0	0.0	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentella	Tomentella_sp	587.0	Ectomycorrhizal	Myc
Basidiomycota_sp	135.0	1.0	49.0	14.0	1.0	16.0	25.0	9.0	7.0	35.0	0.0	0.0	14.0	2.0	0.0	19.0	134.0	Fungi	Basidiomycota	Basidiomycota_cls_Incertae_sedis	Basidiomycota_ord_Incertae_sedis	Basidiomycota_fam_Incertae_sedis	Basidiomycota_gen_Incertae_sedis	Basidiomycota_sp	461.0	NA	ENA
Syzygospora_effibulata	1.0	30.0	1.0	5.0	20.0	0.0	16.0	4.0	0.0	19.0	7.0	8.0	24.0	2.0	0.0	11.0	13.0	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Syzygosporaceae	Syzygospora	Syzygospora_effibulata	161.0	Fungal Parasite, Lichen Parasite	Nop
Neocucurbitaria_juglandicola	8.0	22.0	5.0	7.0	8.0	18.0	6.0	28.0	8.0	3.0	17.0	4.0	1.0	4.0	0.0	11.0	10.0	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Cucurbitariaceae	Neocucurbitaria	Neocucurbitaria_juglandicola	160.0	NA	ENA
Penicillium_bialowiezense	23.0	7.0	108.0	8.0	5.0	5.0	9.0	3.0	25.0	3.0	23.0	2.0	19.0	2.0	5.0	1.0	9.0	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium_bialowiezense	257.0	Dung Saprotroph, Undefined Saprotroph, Wood Saprotroph	Sap
Pyronemataceae_sp	0.0	0.0	0.0	0.0	3.0	3.0	0.0	0.0	0.0	13.0	0.0	0.0	89.0	2.0	0.0	0.0	0.0	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae	Pyronemataceae_gen_Incertae_sedis	Pyronemataceae_sp	110.0	NA	ENA
Pezicula_sporulosa	49.0	0.0	0.0	0.0	0.0	39.0	0.0	0.0	0.0	29.0	0.0	0.0	0.0	2.0	32.0	0.0	3.0	Fungi	Ascomycota	Leotiomycetes	Helotiales	Dermateaceae	Pezicula	Pezicula_sporulosa	154.0	Endophyte, Plant Pathogen, Undefined Saprotroph	Pat
Solicoccozyma_sp	8.0	4.0	10.0	0.0	4.0	190.0	5.0	0.0	3.0	7.0	1.0	0.0	9.0	0.0	0.0	6.0	5.0	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Piskurozymaceae	Solicoccozyma	Solicoccozyma_sp	253.0	NA	ENA
Scytalidium_album	1.0	2.0	13.0	7.0	0.0	22.0	8.0	2.0	2.0	0.0	2.0	0.0	13.0	0.0	1.0	145.0	10.0	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Scytalidium	Scytalidium_album	228.0	Wood Saprotroph	Sap
Tyrannosorus_pini-sylvestris	4.0	47.0	0.0	3.0	10.0	3.0	10.0	12.0	7.0	4.0	6.0	0.0	1.0	0.0	0.0	17.0	1.0	Fungi	Ascomycota	Dothideomycetes	Venturiales	Venturiaceae	Tyrannosorus	Tyrannosorus_pini-sylvestris	125.0	NA	ENA
Rhodosporidiobolus_colostri	3.0	3.0	0.0	11.0	5.0	1.0	0.0	0.0	4.0	157.0	8.0	3.0	1.0	0.0	10.0	4.0	0.0	Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolaceae	Rhodosporidiobolus	Rhodosporidiobolus_colostri	210.0	NA	ENA
Glomerellales_sp	14.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	25.0	0.0	0.0	0.0	0.0	0.0	0.0	253.0	Fungi	Ascomycota	Sordariomycetes	Glomerellales	Glomerellales_fam_Incertae_sedis	Glomerellales_gen_Incertae_sedis	Glomerellales_sp	295.0	NA	ENA
