Species	WP010_2A	WP011_3A	WP018_1B	WP020_3B	WP021_4B	WP022_5B	WP023_6B	WP024_7B	WP025_8B	WP016_8A	WP019_2B	WP009_1A	WP012_4A	WP013_5A	WP014_6A	WP015_7A	WP017_9A	Kingdom	Phylum	Class	Order	Family	Genus	Species	Total abundance	Guild	Guild category
Meliniomyces_sp	282.0	1109.0	8.0	49.0	34.0	18.0	518.0	142.0	604.0	435.0	181.0	50.0	377.0	162.0	1061.0	501.0	4297.0	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Meliniomyces	Meliniomyces_sp	9828.0	Ectomycorrhizal, Endophyte, Ericoid Mycorrhizal, Litter Saprotroph, Orchid Mycorrhizal	Myc
Glutinomyces_sp	139.0	511.0	1636.0	1612.0	0.0	1028.0	71.0	216.0	41.0	798.0	254.0	31.0	262.0	29.0	122.0	0.0	15.0	Fungi	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Glutinomyces	Glutinomyces_sp	6765.0	Endophyte	Nop
Russula_sp	181.0	12506.0	319.0	9.0	13.0	1511.0	189.0	22.0	57.0	747.0	20.0	4.0	1173.0	363.0	2491.0	128.0	8348.0	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Russula	Russula_sp	28081.0	Ectomycorrhizal	Myc
Rhizodermea_veluwensis	0.0	0.0	0.0	0.0	5.0	0.0	109.0	196.0	67.0	127.0	1.0	0.0	27.0	527.0	7031.0	1024.0	22.0	Fungi	Ascomycota	Leotiomycetes	Helotiales	Dermateaceae	Rhizodermea	Rhizodermea_veluwensis	9136.0	Undefined Saprotroph	Sap
Luellia_sp	0.0	0.0	0.0	0.0	1443.0	0.0	784.0	138.0	3.0	1.0	210.0	0.0	249.0	48.0	16.0	8249.0	14.0	Fungi	Basidiomycota	Agaricomycetes	Trechisporales	Hydnodontaceae	Luellia	Luellia_sp	11155.0	Undefined Saprotroph	Sap
Lactarius_subdulcis	0.0	0.0	0.0	0.0	3.0	2.0	1.0	0.0	0.0	20.0	0.0	0.0	0.0	12579.0	0.0	0.0	0.0	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Lactarius	Lactarius_subdulcis	12605.0	Ectomycorrhizal	Myc
Leptodontidium_sp	4.0	17.0	0.0	15.0	1398.0	15.0	803.0	83.0	7.0	907.0	2.0	5433.0	957.0	56.0	12.0	897.0	441.0	Fungi	Ascomycota	Leotiomycetes	Helotiales	Leptodontidiaceae	Leptodontidium	Leptodontidium_sp	11047.0	Endophyte	Nop
Inocybe_sp	7240.0	208.0	425.0	24.0	64.0	125.0	68.0	17.0	127.0	22.0	93.0	137.0	62.0	6.0	52.0	29.0	122.0	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Inocybaceae	Inocybe	Inocybe_sp	8821.0	Ectomycorrhizal	Myc
GS05_sp	168.0	1929.0	175.0	430.0	60.0	205.0	757.0	51.0	884.0	186.0	824.0	112.0	318.0	14.0	3.0	293.0	1335.0	Fungi	Rozellomycota	Rozellomycotina_cls_Incertae_sedis	GS05	GS05_fam_Incertae_sedis	GS05_gen_Incertae_sedis	GS05_sp	7749.0	NA	ENA
Clonostachys_eriocamporesii	0.0	7.0	0.0	1.0	0.0	0.0	0.0	0.0	4.0	1.0	0.0	8302.0	4.0	0.0	0.0	2.0	0.0	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Bionectriaceae	Clonostachys	Clonostachys_eriocamporesii	8321.0	Plant Pathogen	Pat
Mollisia_sp	3766.0	4.0	1.0	7.0	5.0	70.0	9.0	0.0	3.0	0.0	1.0	0.0	35.0	1.0	1.0	15.0	4.0	Fungi	Ascomycota	Leotiomycetes	Helotiales	Mollisiaceae	Mollisia	Mollisia_sp	3922.0	Endophyte, Plant Pathogen	Pat
Hydnodontaceae_sp	480.0	2141.0	8.0	24.0	0.0	80.0	2415.0	7.0	53.0	408.0	624.0	865.0	284.0	57.0	377.0	1918.0	11349.0	Fungi	Basidiomycota	Agaricomycetes	Trechisporales	Hydnodontaceae	Hydnodontaceae_gen_Incertae_sedis	Hydnodontaceae_sp	21090.0	NA	ENA
