Species	WP010_2A	WP011_3A	WP018_1B	WP020_3B	WP021_4B	WP022_5B	WP023_6B	WP024_7B	WP025_8B	WP016_8A	WP019_2B	WP009_1A	WP012_4A	WP013_5A	WP014_6A	WP015_7A	WP017_9A	WP026_0	PCR_control	Kingdom	Phylum	Class	Order	Family	Genus	Species	Total abundance	Guild	Guild category
Pezoloma_ericae	53.0	155.0	18.0	1618.0	229.0	75.0	88.0	173.0	95.0	275.0	33.0	18.0	109.0	29.0	0.0	21.0	55.0	0.0	0.0	Fungi	Ascomycota	Leotiomycetes	Helotiales	Leotiaceae	Pezoloma	Pezoloma_ericae	3044.0	Bryophyte Parasite, Ectomycorrhizal, Ericoid Mycorrhizal, Undefined Saprotroph, Wood Saprotroph	Myc
Chaetosphaeria_ciliata	11.0	1524.0	342.0	204.0	4.0	17.0	18.0	14.0	4.0	422.0	254.0	0.0	5.0	40.0	36.0	18.0	1.0	0.0	0.0	Fungi	Ascomycota	Sordariomycetes	Chaetosphaeriales	Chaetosphaeriaceae	Chaetosphaeria	Chaetosphaeria_ciliata	2914.0	Endophyte, Litter Saprotroph, Wood Saprotroph	Sap
Xerocomellus_chrysenteron	537.0	203.0	1451.0	381.0	27.0	19.0	10.0	0.0	0.0	3.0	2097.0	0.0	1.0	1467.0	0.0	336.0	21.0	0.0	0.0	Fungi	Basidiomycota	Agaricomycetes	Boletales	Boletaceae	Xerocomellus	Xerocomellus_chrysenteron	6553.0	Ectomycorrhizal	Myc
Cortinarius_sp	207.0	4.0	6.0	19.0	0.0	80.0	11.0	3.0	0.0	0.0	0.0	0.0	1055.0	0.0	8.0	0.0	0.0	0.0	0.0	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	Cortinarius_sp	1393.0	Ectomycorrhizal	Myc
Chaetosphaeria_sp	33.0	206.0	59.0	140.0	19.0	78.0	146.0	26.0	467.0	211.0	22.0	16.0	634.0	8.0	11.0	34.0	252.0	0.0	0.0	Fungi	Ascomycota	Sordariomycetes	Chaetosphaeriales	Chaetosphaeriaceae	Chaetosphaeria	Chaetosphaeria_sp	2362.0	Endophyte, Litter Saprotroph, Wood Saprotroph	Sap
Podila_epicladia	402.0	53.0	67.0	67.0	3.0	462.0	43.0	8.0	187.0	60.0	11.0	5.0	22.0	8.0	14.0	1.0	13.0	0.0	0.0	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Podila	Podila_epicladia	1426.0	NA	ENA
Aspergillus_sp	0.0	286.0	2.0	257.0	85.0	144.0	188.0	331.0	3.0	263.0	130.0	0.0	274.0	0.0	7.0	123.0	5.0	0.0	0.0	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus_sp	2098.0	NA	ENA
Trechispora_sp	2.0	162.0	1.0	28.0	3.0	8.0	1071.0	72.0	46.0	9.0	615.0	1.0	156.0	8.0	17.0	240.0	9.0	0.0	0.0	Fungi	Basidiomycota	Agaricomycetes	Trechisporales	Hydnodontaceae	Trechispora	Trechispora_sp	2448.0	Wood Saprotroph	Sap
Capnobotryella_sp	0.0	67.0	2.0	5.0	136.0	0.0	206.0	0.0	3.0	6.0	139.0	0.0	602.0	20.0	4.0	287.0	3.0	0.0	0.0	Fungi	Ascomycota	Dothideomycetes	Mycosphaerellales	Teratosphaeriaceae	Capnobotryella	Capnobotryella_sp	1480.0	Undefined Saprotroph	Sap
Russula_heterophylla	0.0	0.0	4.0	0.0	0.0	0.0	1111.0	0.0	1543.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Russula	Russula_heterophylla	2659.0	Ectomycorrhizal	Myc
Globodera_sp	57.0	450.0	87.0	19.0	279.0	239.0	134.0	202.0	2651.0	679.0	2135.0	349.0	852.0	33.0	17.0	562.0	243.0	0.0	0.0	Fungi	Fungi_phy_Incertae_sedis	Fungi_cls_Incertae_sedis	Fungi_ord_Incertae_sedis	Fungi_fam_Incertae_sedis	Globodera	Globodera_sp	8988.0	NA	ENA
Exophiala_radicis	63.0	369.0	268.0	325.0	158.0	224.0	628.0	89.0	1015.0	113.0	673.0	48.0	583.0	10.0	34.0	483.0	571.0	0.0	0.0	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Exophiala	Exophiala_radicis	5654.0	NA	ENA
Xerocomus_subtomentosus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4499.0	0.0	0.0	0.0	0.0	Fungi	Basidiomycota	Agaricomycetes	Boletales	Boletaceae	Xerocomus	Xerocomus_subtomentosus	4499.0	Ectomycorrhizal	Myc
Collybiopsis_ramealis	0.0	0.0	0.0	0.0	0.0	0.0	4417.0	0.0	11244.0	2318.0	2.0	0.0	0.0	3501.0	0.0	0.0	0.0	0.0	0.0	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Omphalotaceae	Collybiopsis	Collybiopsis_ramealis	21482.0	NA	ENA
Bionectriaceae_sp	381.0	112.0	66.0	58.0	9.0	148.0	107.0	29.0	71.0	57.0	59.0	15.0	49.0	15.0	29.0	16.0	1466.0	0.0	0.0	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Bionectriaceae	Bionectriaceae_gen_Incertae_sedis	Bionectriaceae_sp	2687.0	NA	ENA
Atractospora_sp	21.0	76.0	76.0	46.0	217.0	42.0	23.0	4.0	4.0	309.0	6.0	3443.0	24.0	0.0	82.0	62.0	21.0	0.0	1.0	Fungi	Ascomycota	Sordariomycetes	Myrmecridiales	Myrmecridiales_fam_Incertae_sedis	Atractospora	Atractospora_sp	4457.0	Wood Saprotroph	Sap
Leptobacillium_leptobactrum	1.0	12.0	4.0	6.0	77.0	1.0	77.0	92.0	20.0	42.0	352.0	107.0	14.0	0.0	0.0	15.0	79.0	0.0	0.0	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Cordycipitaceae	Leptobacillium	Leptobacillium_leptobactrum	899.0	NA	ENA
Pleuroascus_rectipilus	4.0	44.0	14.0	25.0	7.0	58.0	15.0	13.0	9.0	28.0	210.0	0.0	78.0	2.0	0.0	1.0	6.0	0.0	0.0	Fungi	Ascomycota	Leotiomycetes	Helotiales	Pleuroascaceae	Pleuroascus	Pleuroascus_rectipilus	514.0	Dung Saprotroph	Nop
Chaetothyriales_sp	42.0	89.0	6.0	55.0	124.0	56.0	301.0	28.0	136.0	55.0	219.0	1.0	261.0	45.0	45.0	136.0	125.0	0.0	0.0	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Chaetothyriales_fam_Incertae_sedis	Chaetothyriales_gen_Incertae_sedis	Chaetothyriales_sp	1724.0	NA	ENA
Linnemannia_gamsii	212.0	161.0	98.0	250.0	50.0	130.0	376.0	45.0	256.0	48.0	56.0	16.0	64.0	0.0	80.0	11.0	48.0	0.0	0.0	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Linnemannia	Linnemannia_gamsii	1901.0	NA	ENA
